x,y,z,xt,yt,zt
1.008451, -0.097863, -1.094635, , , 
-0.050972, -0.024948, -0.881316, , , 
-0.142423, 0.003908, -0.721955, , , 
-0.004017, 0.049449, -0.920101, , , 
1.161250, 0.181041, -0.850801, , , 
0.989222, 0.111590, -0.870897, , , 
1.579660, -0.954736, -1.630483, , , 
0.022190, -0.173655, -0.865887, , , 
1.347935, -1.383818, -2.226242, , , 
0.978189, 0.109239, -0.848493, , , 
1.170493, 0.050472, -0.896475, , , 
0.907023, 0.079971, -0.906454, , , 
0.718651, -0.259832, -0.898844, , , 
0.913597, 0.096423, -0.922230, , , 
1.022838, 0.119025, -0.931151, , , 
1.294519, -1.213978, -2.023493, , , 
0.691794, 0.215899, -0.751561, , , 
1.080010, -1.388749, -2.288317, , , 
0.886792, 0.230641, -0.696470, , , 
1.287535, 0.019314, -1.177038, , , 
0.914396, -0.065107, -1.002560, , , 
0.989497, 0.110911, -0.865543, , , 
0.897375, -1.050829, -1.907676, , , 
0.427708, -0.159768, -1.293224, , , 
1.200417, -0.027687, -1.029918, , , 
0.676179, 0.159982, -0.785444, , , 
1.102290, -0.042346, -0.970578, , , 
0.369171, 0.112929, -0.834856, , , 
0.018696, -0.215725, -0.845940, , , 
0.930945, -0.066324, -1.039705, , , 
1.457842, -1.143890, -1.872967, , , 
0.925481, 0.227841, -0.850505, , , 
0.447204, 0.058166, -0.877323, , , 
0.234304, -0.082131, -1.152510, , , 
0.299531, 0.092970, -0.857944, , , 
1.070407, -1.371370, -2.256073, , , 
1.093773, -0.037420, -0.965467, , , 
1.590251, -0.764642, -1.439041, , , 
0.987059, 0.107681, -0.860764, , , 
0.650536, 0.125147, -0.813449, , , 
0.689067, -0.037623, -0.999638, , , 
0.995697, 0.110086, -0.878773, , , 
1.659718, -1.350544, -2.300535, , , 
0.958373, -0.987940, -1.736165, , , 
0.675617, 0.161095, -0.791194, , , 
1.130821, 0.006770, -0.930102, , , 
0.909097, 0.081495, -0.893145, , , 
0.488051, -0.637627, -1.053489, , , 
1.472547, -0.836044, -1.636704, , , 
0.901338, 0.215191, -0.754145, , , 
0.020678, -0.135381, -0.893141, , , 
0.909925, -0.066245, -0.991562, , , 
0.716924, -0.283513, -0.867357, , , 
